name,price,main_category,sub_category,,url,image_url,discount
Falak Easy Cook Sella Rice 5 Kg,"Rs. 2,499",Commodities,Rice,,https://www.metro-online.pk/detail/cooking-essentials/commodities/rice/falak-easy-cook-sella-rice-5-kg/12639599,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12639599-0-M.jpg,Best Price
Mughal Super Sella Rice 5 KG,"Rs. 2,499",Commodities,Rice,,https://www.metro-online.pk/detail/cooking-essentials/commodities/rice/mughal-super-sella-rice-5-kg/12623758,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12623758-0-M.jpg,
Mughal Rice Blended Basmati 5KG,"Rs. 1,575",Commodities,Rice,,https://www.metro-online.pk/detail/cooking-essentials/commodities/rice/mughal-rice-blended-basmati-5kg/12625164,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12625164-0-M.jpg,Market Say Sasta
Falak Peshawar Sella Rice 5kg,"Rs. 2,299",Commodities,Rice,,https://www.metro-online.pk/detail/cooking-essentials/commodities/rice/falak-peshawar-sella-rice-5kg/12623775,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12623775-0-M.jpg,
Zarafa Steamed Rice 25KG,"Rs. 9,349",Commodities,Rice,,https://www.metro-online.pk/detail/cooking-essentials/commodities/rice/zarafa-steamed-rice-25kg/12622520,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12622520-0-M.jpg,
Pure Zafarani 1121 Sella 25Kg,"Rs. 10,349",Commodities,Rice,,https://www.metro-online.pk/detail/cooking-essentials/commodities/rice/pure-zafarani-1121-sella-25kg/10098940,https://metro-b2c.s3.amazonaws.com/Products/1731910290496.jpg,
Guard Easy Cook Sella Rice 25KG,"Rs. 12,899",Commodities,Rice,,https://www.metro-online.pk/detail/cooking-essentials/commodities/rice/guard-easy-cook-sella-rice-25kg/12639909,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12639909-0-M.jpg,
Metro Chef Kainat Steam Rice 1Kg,Rs. 379,Commodities,Rice,,https://www.metro-online.pk/detail/cooking-essentials/commodities/rice/metro-chef-kainat-steam-rice-1kg/73124687,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/Products/1759917786733.jpg,Best Price
Falak Extreme Rice 5 KG,"Rs. 2,649",Commodities,Rice,,https://www.metro-online.pk/detail/cooking-essentials/commodities/rice/falak-extreme-rice-5-kg/12622880,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12622880-0-M.jpg,Market Say Sasta
Mughal Pure Basmati Rice 5KG,"Rs. 1,799",Commodities,Rice,,https://www.metro-online.pk/detail/cooking-essentials/commodities/rice/mughal-pure-basmati-rice-5kg/12625709,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12625709-0-M.jpg,Market Say Sasta
Basmati Steam Rice Kaalar 5 KG 1121,"Rs. 2,625",Commodities,Rice,,https://www.metro-online.pk/detail/cooking-essentials/commodities/rice/basmati-steam-rice-kaalar-5-kg-1121/12627505,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12627505-0-M.jpg,
Pure Zafarani 1121 Steamed 25Kg,"Rs. 10,549",Commodities,Rice,,https://www.metro-online.pk/detail/cooking-essentials/commodities/rice/pure-zafarani-1121-steamed-25kg/39951196,https://metro-b2c.s3.amazonaws.com/Products/1731910090131.jpg,
Pure Zafarani 1121 Steam Everyday 25Kg,"Rs. 8,549",Commodities,Rice,,https://www.metro-online.pk/detail/cooking-essentials/commodities/rice/pure-zafarani-1121-steam-everyday-25kg/59284594,https://metro-b2c.s3.amazonaws.com/Products/1731909634860.jpg,
Falak Extreme Rice 25KG,"Rs. 11,749",Commodities,Rice,,https://www.metro-online.pk/detail/cooking-essentials/commodities/rice/falak-extreme-rice-25kg/12637850,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12637850-0-M.jpg,4% OFF
Falak Select Rice 25 Kg,"Rs. 9,799",Commodities,Rice,,https://www.metro-online.pk/detail/cooking-essentials/commodities/rice/falak-select-rice-25-kg/12639601,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12639601-0-M.jpg,
Mughal Super Kernel Basmati Rice 5 KG,"Rs. 2,399",Commodities,Rice,,https://www.metro-online.pk/detail/cooking-essentials/commodities/rice/mughal-super-kernel-basmati-rice-5-kg/12622650,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12622650-0-M.jpg,
Falak Rice Select 5KG,"Rs. 2,199",Commodities,Rice,,https://www.metro-online.pk/detail/cooking-essentials/commodities/rice/falak-rice-select-5kg/12623751,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12623751-0-M.jpg,
Shahenshah Rice Sella 20kg,"Rs. 7,799",Commodities,Rice,,https://www.metro-online.pk/detail/cooking-essentials/commodities/rice/shahenshah-rice-sella-20kg/12639902,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12639902-0-M.jpg,
Pure Zafarani 1121 Steam Gold 25Kg,"Rs. 9,049",Commodities,Rice,,https://www.metro-online.pk/detail/cooking-essentials/commodities/rice/pure-zafarani-1121-steam-gold-25kg/19748443,https://metro-b2c.s3.amazonaws.com/Products/1731909930016.jpg,
Falak Premium Rice 25 Kg,"Rs. 11,299",Commodities,Rice,,https://www.metro-online.pk/detail/cooking-essentials/commodities/rice/falak-premium-rice-25-kg/12639600,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12639600-0-M.jpg,
Shahenshah Rice Sella 5kg,"Rs. 2,279",Commodities,Rice,,https://www.metro-online.pk/detail/cooking-essentials/commodities/rice/shahenshah-rice-sella-5kg/12639899,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12639899-0-M.jpg,
Falak Premium Pack 5 KG,"Rs. 2,549",Commodities,Rice,,https://www.metro-online.pk/detail/cooking-essentials/commodities/rice/falak-premium-pack-5-kg/12627504,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12627504-0-M.jpg,
Fine Life Basmati Rice 5KG,"Rs. 1,750",Commodities,Rice,,https://www.metro-online.pk/detail/cooking-essentials/commodities/rice/fine-life-basmati-rice-5kg/72428569,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/Products/1701672666719.jpg,13% OFF
Shahenshah Rice Super Star 5kg,"Rs. 2,399",Commodities,Rice,,https://www.metro-online.pk/detail/cooking-essentials/commodities/rice/shahenshah-rice-super-star-5kg/12637419,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12637419-0-M.jpg,
Guard Rice Awami Basmati 1KG,Rs. 309,Commodities,Rice,,https://www.metro-online.pk/detail/cooking-essentials/commodities/rice/guard-rice-awami-basmati-1kg/12623269,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12623269-0-M.jpg,
7Up 1.5L x6,Rs. 960,Beverages,Soft Drinks,,https://www.metro-online.pk/detail/beverages/soft-drinks/7up-1.5l-x6-/12625572,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12625572-0-M.jpg,2% OFF
Cola Next 1L,Rs. 115,Beverages,Soft Drinks,,https://www.metro-online.pk/detail/beverages/soft-drinks/cola-next-1l/12625917,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12625917-0-M.jpg,Best Price
Mezan Fizz Up 1Litre x 6,Rs. 735,Beverages,Soft Drinks,,https://www.metro-online.pk/detail/beverages/soft-drinks/mezan-fizz-up-1litre-x-6/12623798,https://metro-b2c.s3.amazonaws.com/Products/1741685070202.jpg,Best Price
Next Fizz Up 1L,Rs. 125,Beverages,Soft Drinks,,https://www.metro-online.pk/detail/beverages/soft-drinks/next-fizz-up-1l/19896840,https://metro-b2c.s3.amazonaws.com/Products/1741685564373.jpg,Best Price
Next Fizz Up 1.5 Litre,Rs. 165,Beverages,Soft Drinks,,https://www.metro-online.pk/detail/beverages/soft-drinks/next-fizz-up-1.5-litre/12641458,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/Products/1738064196891.jpg,Best Price
Next Cola 2.25L,Rs. 210,Beverages,Soft Drinks,,https://www.metro-online.pk/detail/beverages/soft-drinks/next-cola-2.25l/84453237,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/Products/1741684558117.jpg,Best Price
Next Fizz Up 2.25L,Rs. 210,Beverages,Soft Drinks,,https://www.metro-online.pk/detail/beverages/soft-drinks/next-fizz-up-2.25l/84765421,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/Products/1741684888660.jpg,Best Price
Sprite 350Ml x12,Rs. 780,Beverages,Soft Drinks,,https://www.metro-online.pk/detail/beverages/soft-drinks/sprite-350ml-x12/5480667,https://metro-b2c.s3.amazonaws.com/Products/1742805839500.jpg,
Sprite Zero 350Ml x12,Rs. 580,Beverages,Soft Drinks,,https://www.metro-online.pk/detail/beverages/soft-drinks/sprite-zero-350ml-x12/5480670,https://metro-b2c.s3.amazonaws.com/Products/1742805740790.jpg,
Coca Cola 2.25 Litre X 6,"Rs. 1,260",Beverages,Soft Drinks,,https://www.metro-online.pk/detail/beverages/soft-drinks/coca-cola-2.25-litre-x-6/12620645,https://metro-b2c.s3.amazonaws.com/Products/1713250621526.jpg,Best Price
Mountain Dew 1.5L x6,Rs. 960,Beverages,Soft Drinks,,https://www.metro-online.pk/detail/beverages/soft-drinks/mountain-dew-1.5l-x6-/12622021,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12622021-0-M.jpg,1% OFF
Cola Next 1.5L,Rs. 165,Beverages,Soft Drinks,,https://www.metro-online.pk/detail/beverages/soft-drinks/cola-next-1.5l/12632300,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12632300-0-M.jpg,Best Price
Coca Cola 2.25Litre,Rs. 215,Beverages,Soft Drinks,,https://www.metro-online.pk/detail/beverages/soft-drinks/coca-cola-2.25litre/12620188,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/Products/1707741324699.jpg,20% OFF
Coca Cola Zero 500ML,Rs. 105,Beverages,Soft Drinks,,https://www.metro-online.pk/detail/beverages/soft-drinks/coca-cola-zero-500ml/12640723,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12640723-0-M.jpg,Best Price
Cola Next 1.5Ltr x6,Rs. 960,Beverages,Soft Drinks,,https://www.metro-online.pk/detail/beverages/soft-drinks/cola-next-1.5ltr-x6/12623912,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12623912-0-M.jpg,Best Price
7Up 345ML x12,Rs. 750,Beverages,Soft Drinks,,https://www.metro-online.pk/detail/beverages/soft-drinks/7up-345ml-x12-/12621082,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/Products/1744016538048.jpg,1% OFF
Sting Berry 500ML x12,"Rs. 1,260",Beverages,Soft Drinks,,https://www.metro-online.pk/detail/beverages/soft-drinks/sting-berry-500ml-x12-/12624935,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12624935-0-M.jpg,Market Say Sasta
Coca Cola 1.5 Litre,Rs. 175,Beverages,Soft Drinks,,https://www.metro-online.pk/detail/beverages/soft-drinks/coca-cola-1.5-litre/12620112,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12620112-0-M.jpg,Market Say Sasta
Mountain Dew 2.25L x6,"Rs. 1,320",Beverages,Soft Drinks,,https://www.metro-online.pk/detail/beverages/soft-drinks/mountain-dew-2.25l-x6-/12623375,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12623375-0-M.jpg,
Coca Cola 1Litre,Rs. 166,Beverages,Soft Drinks,,https://www.metro-online.pk/detail/beverages/soft-drinks/coca-cola-1litre/12621521,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12621521-0-M.jpg,Best Price
7Up 500ML x12,"Rs. 1,020",Beverages,Soft Drinks,,https://www.metro-online.pk/detail/beverages/soft-drinks/7up-500ml-x12-/12620538,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12620538-0-M.jpg,Market Say Sasta
Coca Cola Zero Sugar 1.5 Litre,Rs. 175,Beverages,Soft Drinks,,https://www.metro-online.pk/detail/beverages/soft-drinks/coca-cola-zero-sugar-1.5-litre/12631663,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12631663-0-M.jpg,
