product_name,discounted_price,original_price,product_url,image_url
Royal Lather Gold Soap 125gm,135,135,https://www.rahimstore.com/product/812,https://www.rahimstore.com/img/products/035/812.jpg?1766497340
Imperial Leather Classic Soap,345,350,https://www.rahimstore.com/product/829,https://www.rahimstore.com/img/products/035/829.jpg?1766497340
Vital Revitalizing Beauty Soap,150,150,https://www.rahimstore.com/product/832,https://www.rahimstore.com/img/products/035/832.jpg?1766497340
Vital Lemon & Tea Soap 128gm,150,150,https://www.rahimstore.com/product/834,https://www.rahimstore.com/img/products/035/834.jpg?1766497340
Vital Fruity Tropical Soap 120,100,100,https://www.rahimstore.com/product/840,https://www.rahimstore.com/img/products/035/840.jpg?1766497340
Vital Orange Fruity Soap 120gm,100,100,https://www.rahimstore.com/product/843,https://www.rahimstore.com/img/products/035/843.jpg?1766497340
Vital Lemon Fruity Soap 120gm,100,100,https://www.rahimstore.com/product/845,https://www.rahimstore.com/img/products/035/845.jpg?1766497340
Safeguard Pure White Soap 125g,160,160,https://www.rahimstore.com/product/861,https://www.rahimstore.com/img/products/035/861.jpg?1766497340
Safeguard Floral Soap 125gm,165,165,https://www.rahimstore.com/product/865,https://www.rahimstore.com/img/products/035/865.jpg?1766497340
Safeguard Pure White Soap 95gm,125,125,https://www.rahimstore.com/product/867,https://www.rahimstore.com/img/products/035/867.jpg?1766497340
Opal Gentle Floral Soap 4+1 6,225,225,https://www.rahimstore.com/product/881,https://www.rahimstore.com/img/products/035/881.jpg?1766497340
Yardley Sandalwood Soap 100gm,499,499,https://www.rahimstore.com/product/919,https://www.rahimstore.com/img/products/035/919.jpg?1766497340
Yardley Jasmine Soap 100gm,499,499,https://www.rahimstore.com/product/920,https://www.rahimstore.com/img/products/035/920.jpg?1766497340
Yardley Rose Soap 100gm,499,499,https://www.rahimstore.com/product/924,https://www.rahimstore.com/img/products/035/924.jpg?1766497340
Olivia Hair Colour #01,300,300,https://www.rahimstore.com/product/1115,https://www.rahimstore.com/img/products/040/1115.jpg?1766497340
Olivia Hair Colour #02,300,300,https://www.rahimstore.com/product/1117,https://www.rahimstore.com/img/products/040/1117.jpg?1766497340
Olivia Hair Colour #03,300,300,https://www.rahimstore.com/product/1118,https://www.rahimstore.com/img/products/040/1118.jpg?1766497340
Olivia Hair Colour #4,300,300,https://www.rahimstore.com/product/1119,https://www.rahimstore.com/img/products/040/1119.jpg?1766497340
Olivia Hair Colour #05,300,300,https://www.rahimstore.com/product/1120,https://www.rahimstore.com/img/products/040/1120.jpg?1766497358
Olivia Hair Colour #06,300,300,https://www.rahimstore.com/product/1121,https://www.rahimstore.com/img/products/040/1121.jpg?1766497358
Olivia Hair Colour #7,300,300,https://www.rahimstore.com/product/1123,https://www.rahimstore.com/img/products/040/1123.jpg?1766497358
Olivia Hair Colour #08,275,300,https://www.rahimstore.com/product/1124,https://www.rahimstore.com/img/products/040/1124.jpg?1766497358
Olivia Hair Colour #09,300,300,https://www.rahimstore.com/product/1125,https://www.rahimstore.com/img/products/040/1125.jpg?1766497358
Olivia Hair Colour #10,275,300,https://www.rahimstore.com/product/1126,https://www.rahimstore.com/img/products/040/1126.jpg?1766497358
Olivia Hair Colour #11,300,300,https://www.rahimstore.com/product/1127,https://www.rahimstore.com/img/products/040/1127.jpg?1766497358
Olivia Hair Colour #12,275,300,https://www.rahimstore.com/product/1128,https://www.rahimstore.com/img/products/040/1128.jpg?1766497358
Forhans Extra Care Tooth Paste,175,180,https://www.rahimstore.com/product/1341,https://www.rahimstore.com/img/products/045/1341.jpg?1766497358
Medicam Herbal Tooth Paste 150,300,300,https://www.rahimstore.com/product/1344,https://www.rahimstore.com/img/products/045/1344.jpg?1766497358
Medicam Pro-tech Tooth Paste 6,230,250,https://www.rahimstore.com/product/1345,https://www.rahimstore.com/img/products/045/1345.jpg?1766497358
Protect G Gum Care Tooth Paste,140,140,https://www.rahimstore.com/product/1351,https://www.rahimstore.com/img/products/045/1351.jpg?1766497358
Protect G Gum Care Tooth Paste,210,235,https://www.rahimstore.com/product/1354,https://www.rahimstore.com/img/products/045/1354.jpg?1766497358
Protect G Plus Gum Care 70gm,240,270,https://www.rahimstore.com/product/1358,https://www.rahimstore.com/img/products/045/1358.jpg?1766497358
Medicam Cream Tooth Paste 35gm,104.99,110,https://www.rahimstore.com/product/1360,https://www.rahimstore.com/img/products/045/1360.jpg?1766497358
Medicam Cream Tooth Paste 180g,420,420,https://www.rahimstore.com/product/1361,https://www.rahimstore.com/img/products/045/1361.jpg?1766497358
Sensodyne Deep Clean Tooth Pas,400,400,https://www.rahimstore.com/product/1363,https://www.rahimstore.com/img/products/045/1363.jpg?1766497358
Medicam Cream Tooth Paste 90gm,265,285,https://www.rahimstore.com/product/1365,https://www.rahimstore.com/img/products/045/1365.jpg?1766497358
Forhans Classic Tooth Paste 35,95,95,https://www.rahimstore.com/product/1379,https://www.rahimstore.com/img/products/045/1379.jpg?1766497358
Forhans Classic Tooth Paste 90,230,230,https://www.rahimstore.com/product/1381,https://www.rahimstore.com/img/products/045/1381.jpg?1766497358
Protect Advance Whitening Toot,250,250,https://www.rahimstore.com/product/1382,https://www.rahimstore.com/img/products/045/1382.jpg?1766497377
Parodontax Extra Fresh Tooth P,210,210,https://www.rahimstore.com/product/1388,https://www.rahimstore.com/img/products/045/1388.jpg?1766497377
Medicam Tooth Paste Bursh Pack,270,270,https://www.rahimstore.com/product/1392,https://www.rahimstore.com/img/products/045/1392.jpg?1766497377
Medicam Pro-tec Tooth Paste 40,130,130,https://www.rahimstore.com/product/1395,https://www.rahimstore.com/img/products/045/1395.jpg?1766497377
Parodontax Original Tooth Past,350,350,https://www.rahimstore.com/product/1397,https://www.rahimstore.com/img/products/045/1397.jpg?1766497377
Parodontax Extra Fresh Tooth P,350,350,https://www.rahimstore.com/product/1399,https://www.rahimstore.com/img/products/045/1399.jpg?1766497377
Forhans Sensitive Tooth Paste,345,350,https://www.rahimstore.com/product/1411,https://www.rahimstore.com/img/products/045/1411.jpg?1766497377
Sensodyne Fluoride Tooth Paste,260,260,https://www.rahimstore.com/product/1419,https://www.rahimstore.com/img/products/045/1419.jpg?1766497377
Sensodyne Fluoride Tooth Paste,350,350,https://www.rahimstore.com/product/1421,https://www.rahimstore.com/img/products/045/1421.jpg?1766497377
Sensodyne Herbal Tooth Paste 1,450,450,https://www.rahimstore.com/product/1429,https://www.rahimstore.com/img/products/045/1429.jpg?1766497377
Clean & Clear Blackhead Daily,"1,199.00",1199,https://www.rahimstore.com/product/1446,https://www.rahimstore.com/img/products/047/1446.jpg?1766497377
Himalaya Purifying Neem Face W,310,310,https://www.rahimstore.com/product/1499,https://www.rahimstore.com/img/products/047/1499.jpg?1766497377
Himalaya Complexion Face Wash,575,580,https://www.rahimstore.com/product/1504,https://www.rahimstore.com/img/products/047/1504.jpg?1766497377
Himalaya Fresh Start Blue Berr,575,580,https://www.rahimstore.com/product/1508,https://www.rahimstore.com/img/products/047/1508.jpg?1766497377
